Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-04-07,Sunday,Win,18325.5,18283.75,18376.0,18237.5,41.75,4175.0,0.4175,21:30:00,18332.0,Above Opening High,08:45:00,18357.75,Above Opening High,0.239442751414889,0.44,0.09931432303003918,0.1825,Crossed Below Opening Low,20:30:00,18283.75
2024-04-08,Monday,Win,18313.75,18291.75,18407.25,18160.75,22.0,2200.0,0.22,21:45:00,18287.5,Below Opening Low,01:15:00,18316.0,Above Opening High,0.6979337307104607,1.2675,0.4957285852041994,0.9125,Crossed Above Opening High,00:30:00,18314.25
2024-04-09,Tuesday,Win,18382.5,18366.75,18474.25,18053.5,15.75,1575.0,0.1575,00:30:00,18384.25,Above Opening High,03:45:00,18390.75,Above Opening High,0.48716456689716764,0.9,0.45198045928792785,0.835,Crossed Below Opening Low,05:45:00,18354.75
2024-04-10,Wednesday,Win,18176.75,18147.75,18518.75,18088.0,29.0,2900.0,0.29,21:45:00,18178.25,Above Opening High,22:00:00,18185.0,Above Opening High,1.8386770165372934,3.405,1.8022274721565983,3.3375,Crossed Below Opening Low,05:15:00,18145.5
2024-04-11,Thursday,Win,18497.25,18473.0,18507.75,18120.25,24.25,2425.0,0.2425,02:15:00,18499.75,Above Opening High,04:45:00,18443.75,Below Opening Low,0.043225135416244544,0.08,1.7852954567403871,3.235,Crossed Below Opening Low,03:15:00,18472.5
2024-04-14,Sunday,Win,18255.0,18192.5,18350.75,17841.5,62.5,6250.0,0.625,01:00:00,18256.5,Above Opening High,02:30:00,18264.0,Above Opening High,0.5136029862539678,0.9425,0.4727327220958272,0.8675,Crossed Below Opening Low,10:00:00,18191.0
2024-04-15,Monday,Win,17893.75,17863.25,17988.0,17792.0,30.5,3050.0,0.305,22:15:00,17821.75,Below Opening Low,22:30:00,17822.5,Below Opening Low,0.1672099820143885,0.2975,0.17142535971223022,0.305,Crossed Above Opening High,07:30:00,17910.0
2024-04-16,Tuesday,Win,17940.0,17890.25,17968.5,17620.25,49.75,4975.0,0.4975,01:30:00,17885.25,Below Opening Low,01:45:00,17857.25,Below Opening Low,1.503951419531505,2.65,1.3450433450149686,2.37,Crossed Above Opening High,06:30:00,17940.5
2024-04-17,Wednesday,Win,17700.5,17678.5,17770.75,17506.25,22.0,2200.0,0.22,21:45:00,17704.5,Above Opening High,22:00:00,17709.5,Above Opening High,0.37280362393258587,0.6625,0.344667501371636,0.6125,Crossed Below Opening Low,05:30:00,17677.5
2024-04-18,Thursday,Win,17517.25,17437.75,17553.25,17113.25,79.5,7950.0,0.795,20:45:00,17437.5,Below Opening Low,21:15:00,17340.75,Below Opening Low,1.8947306911311412,3.2425,1.3293792821351875,2.275,Crossed Above Opening High,08:00:00,17518.0
2024-04-21,Sunday,Win,17273.0,17200.75,17448.0,17148.5,72.25,7225.0,0.7225,01:45:00,17282.25,Above Opening High,02:00:00,17292.75,Above Opening High,0.9499656121045393,1.6575,0.889786795048143,1.5525,Crossed Below Opening Low,20:30:00,17200.75
2024-04-22,Monday,Win,17338.5,17316.0,17661.0,17291.5,22.5,2250.0,0.225,21:30:00,17315.75,Below Opening Low,02:45:00,17351.5,Above Opening High,0.140242315588584,0.2425,1.7524488987033577,3.095,Crossed Above Opening High,00:00:00,17342.25
2024-04-23,Tuesday,Win,17718.75,17681.25,17795.5,17526.25,37.5,3750.0,0.375,21:15:00,17720.0,Above Opening High,22:00:00,17732.0,Above Opening High,0.4242645612654885,0.755,0.35683178331600685,0.635,Crossed Below Opening Low,05:45:00,17667.0
2024-04-24,Wednesday,Win,17484.5,17447.25,17818.25,17308.25,37.25,3725.0,0.3725,20:45:00,17488.5,Above Opening High,01:15:00,17428.75,Below Opening Low,1.8506306736071163,3.2975,0.6961997891179063,1.205,Crossed Below Opening Low,01:00:00,17434.5
2024-04-25,Thursday,Win,17767.5,17742.25,17901.5,17668.25,25.25,2525.0,0.2525,21:30:00,17775.25,Above Opening High,21:45:00,17772.25,Above Opening High,0.7052481635617127,1.2625,0.7220065357651594,1.2925,Crossed Below Opening Low,03:00:00,17735.0
2024-04-28,Sunday,Win,17895.0,17862.5,17949.0,17791.25,32.5,3250.0,0.325,21:30:00,17896.0,Above Opening High,22:00:00,17901.0,Above Opening High,0.295281074154549,0.53,0.26742436904562933,0.48,Crossed Below Opening Low,09:30:00,17831.75
2024-04-29,Monday,Win,17913.75,17897.25,17920.25,17505.75,16.5,1650.0,0.165,21:15:00,17914.25,Above Opening High,01:30:00,17880.25,Below Opening Low,0.033481675757871684,0.06,2.1392970880996245,3.745,Crossed Below Opening Low,01:00:00,17896.25
2024-04-30,Tuesday,Win,17517.0,17481.25,17793.25,17399.25,35.75,3575.0,0.3575,22:30:00,17517.5,Above Opening High,23:30:00,17522.5,Above Opening High,1.5497449875655094,2.7575,1.521644443819988,2.7075,Crossed Below Opening Low,02:30:00,17469.25
2024-05-01,Wednesday,Win,17540.0,17498.5,17685.5,17386.5,41.5,4150.0,0.415,21:00:00,17540.5,Above Opening High,22:15:00,17545.75,Above Opening High,0.8198806932232621,1.45,0.7901953577789715,1.3975,Crossed Below Opening Low,09:45:00,17483.0
2024-05-02,Thursday,Win,17763.5,17737.5,18050.25,17719.5,26.0,2600.0,0.26,21:15:00,17775.25,Above Opening High,21:30:00,17773.5,Above Opening High,1.5235246049223696,2.75,1.5332197614991483,2.7675,Crossed Below Opening Low,02:15:00,17732.0
2024-05-05,Sunday,Win,18025.25,17995.0,18201.25,17983.75,30.25,3025.0,0.3025,01:15:00,17986.5,Below Opening Low,04:30:00,18029.25,Above Opening High,0.015291582678807257,0.0275,0.9449900418927272,1.72,Crossed Above Opening High,03:00:00,18026.25
2024-05-06,Monday,Win,18188.25,18171.25,18266.25,18151.0,17.0,1700.0,0.17,03:45:00,18164.25,Below Opening Low,04:00:00,18155.5,Below Opening Low,0.07299873285218446,0.1325,0.024792022478100383,0.045,Crossed Above Opening High,23:45:00,18188.25
2024-05-07,Tuesday,Win,18212.25,18196.5,18242.25,18072.5,15.75,1575.0,0.1575,23:15:00,18196.0,Below Opening Low,00:00:00,18195.0,Below Opening Low,0.6833586941485683,1.235,0.6778254253700373,1.225,Crossed Above Opening High,21:15:00,18215.25
2024-05-08,Wednesday,Win,18171.0,18153.25,18240.25,18103.75,17.75,1775.0,0.1775,21:45:00,18174.25,Above Opening High,01:00:00,18152.25,Below Opening Low,0.3618371458724524,0.66,0.2679002968998136,0.485,Crossed Below Opening Low,00:45:00,18148.75
2024-05-09,Thursday,Win,18244.75,18223.25,18348.0,18188.5,21.5,2150.0,0.215,21:45:00,18218.25,Below Opening Low,22:00:00,18218.25,Below Opening Low,0.16356488990296067,0.2975,0.16356488990296067,0.2975,Crossed Above Opening High,02:45:00,18255.75
2024-05-12,Sunday,Win,18254.5,18238.0,18336.25,18235.0,16.5,1650.0,0.165,20:45:00,18258.25,Above Opening High,21:00:00,18259.25,Above Opening High,0.4253868702706388,0.78,0.4199331924466562,0.77,Crossed Below Opening Low,13:00:00,18235.0
2024-05-13,Monday,Win,18289.75,18278.5,18433.0,18165.5,11.25,1125.0,0.1125,20:45:00,18277.75,Below Opening Low,21:15:00,18273.5,Below Opening Low,0.6179295918086483,1.1225,0.5945335939005257,1.08,Crossed Above Opening High,02:30:00,18291.5
2024-05-14,Tuesday,Win,18426.25,18399.75,18707.0,18393.0,26.5,2650.0,0.265,22:30:00,18431.5,Above Opening High,23:15:00,18427.25,Above Opening High,1.472710749986636,2.755,1.4954295183621105,2.7975,Crossed Below Opening Low,20:30:00,18399.75
