Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-07-29,Monday,Win,19174.0,19122.5,19319.25,18726.75,51.5,206.0,12.875,21:30:00,19112.25,Below Opening Low,21:45:00,19107.75,Below Opening Low,2.058552605230486,96.375,2.03452280828227,95.25,Crossed Above Opening High,00:30:00,19170.25
2024-07-30,Tuesday,Loss,19076.0,19014.25,19645.25,19040.0,61.75,247.0,15.4375,20:45:00,19076.5,Above Opening High,22:15:00,19114.75,Above Opening High,2.8951018694086357,142.1875,2.7003983151143407,132.625,Not Crossed,N/A,N/A
2024-07-31,Wednesday,Loss,19716.75,19653.5,19698.75,18868.0,63.25,253.0,15.8125,20:45:00,19646.0,Below Opening Low,21:30:00,19640.0,Below Opening Low,4.123383506465974,194.5,4.091583633665465,193.0,Not Crossed,N/A,N/A
2024-08-01,Thursday,Loss,18952.5,18866.25,18922.0,18385.75,86.25,345.0,21.5625,22:15:00,18754.5,Below Opening Low,22:30:00,18755.75,Below Opening Low,2.0056293596943284,92.1875,2.012428103286513,92.5,Not Crossed,N/A,N/A
2024-08-04,Sunday,Loss,18296.75,18168.0,18289.25,17346.0,128.75,515.0,32.1875,21:00:00,18093.0,Below Opening Low,21:15:00,18114.25,Below Opening Low,4.306468350051886,186.75,4.428974979822438,192.0625,Not Crossed,N/A,N/A
2024-08-05,Monday,Win,18303.0,18211.0,18483.0,17961.25,92.0,368.0,23.0,20:45:00,18336.25,Above Opening High,21:00:00,18415.25,Above Opening High,0.7939728399069415,36.6875,0.36655304874749767,16.9375,Crossed Below Opening Low,04:15:00,18183.25
2024-08-06,Tuesday,Win,18194.5,18045.25,18558.5,17951.0,149.25,597.0,37.3125,21:30:00,18274.25,Above Opening High,21:45:00,18290.0,Above Opening High,1.5316431823692647,71.0625,1.44677640973139,67.125,Crossed Below Opening Low,14:00:00,18041.75
2024-08-07,Wednesday,Loss,17942.25,17745.0,18572.25,17860.0,197.25,789.0,49.3125,21:15:00,17973.25,Above Opening High,22:00:00,18024.25,Above Opening High,3.225241960451749,149.75,2.9506387217488457,137.0,Not Crossed,N/A,N/A
2024-08-08,Thursday,Win,18608.25,18489.25,18674.75,18383.0,119.0,476.0,29.75,00:45:00,18455.25,Below Opening Low,01:00:00,18476.5,Below Opening Low,0.3930261654789751,18.0625,0.5086220965022031,23.375,Crossed Above Opening High,04:30:00,18646.25
2024-08-11,Sunday,Win,18643.25,18582.5,18765.5,18524.0,60.75,243.0,15.1875,22:45:00,18652.75,Above Opening High,23:00:00,18656.5,Above Opening High,0.6008366417095201,28.1875,0.580853161386587,27.25,Crossed Below Opening Low,09:30:00,18562.75
2024-08-12,Monday,Loss,18668.0,18632.25,19121.75,18639.5,35.75,143.0,8.9375,20:45:00,18673.75,Above Opening High,23:00:00,18683.0,Above Opening High,2.3428817969066635,112.0,2.294507563376783,109.6875,Not Crossed,N/A,N/A
2024-08-13,Tuesday,Win,19124.0,19092.25,19203.75,18925.5,31.75,127.0,7.9375,21:30:00,19152.25,Above Opening High,21:45:00,19143.75,Above Opening High,0.2681767883876847,12.875,0.3124389767623511,15.0,Crossed Below Opening Low,22:15:00,19097.25
