Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of Low Range,Break of Low Range Cross Price,Break of High Range,Break of High Range Cross Price
2024-04-24,Wednesday,20:42:00,Above High,2331.10009765625,2330.60009765625,2327.300048828125,2350.89990234375,2316.39990234375,23:10:00,Crossed Below Low,2327.300048828125,,
2024-04-25,Thursday,20:42:00,Below Low,2341.0,2343.5,2341.10009765625,2357.60009765625,2324.0,21:35:00,,,Crossed Above High,2344.199951171875
2024-04-28,Sunday,20:37:00,Below Low,2345.0,2348.39990234375,2345.5,2346.300048828125,2331.10009765625,,,,,
2024-04-29,Monday,20:43:00,Above High,2345.699951171875,2345.60009765625,2343.0,2358.5,2336.800048828125,03:41:00,,,Crossed Above High,2349.10009765625
2024-04-29,Monday,20:43:00,Above High,2345.699951171875,2345.60009765625,2343.0,2358.5,2336.800048828125,22:11:00,Crossed Below Low,2342.0,,
2024-04-30,Tuesday,20:44:00,Below Low,2298.39990234375,2304.0,2298.699951171875,2340.699951171875,2292.89990234375,,,,,
2024-05-01,Wednesday,21:07:00,Above High,2357.5,2357.10009765625,2352.699951171875,2361.0,2291.699951171875,03:40:00,,,Crossed Above High,2317.5
2024-05-01,Wednesday,21:07:00,Above High,2357.5,2357.10009765625,2352.699951171875,2361.0,2291.699951171875,22:33:00,Crossed Below Low,2352.5,,
2024-05-02,Thursday,20:33:00,Below Low,2332.199951171875,2335.199951171875,2332.39990234375,2351.800048828125,2316.5,21:03:00,,,Crossed Above High,2335.5
2024-05-05,Sunday,21:01:00,Above High,2331.0,2330.60009765625,2323.0,2346.300048828125,2324.39990234375,,,,,
2024-05-06,Monday,20:55:00,Above High,2359.800048828125,2359.300048828125,2356.5,2363.60009765625,2339.10009765625,21:24:00,Crossed Below Low,2356.300048828125,,
2024-05-07,Tuesday,21:03:00,Below Low,2343.39990234375,2344.800048828125,2344.800048828125,2355.39990234375,2337.60009765625,22:55:00,,,Crossed Above High,2347.60009765625
2024-05-08,Wednesday,20:51:00,Above High,2339.699951171875,2338.89990234375,2337.10009765625,2351.5,2333.89990234375,22:09:00,Crossed Below Low,2337.10009765625,,
2024-05-09,Thursday,21:01:00,Above High,2379.0,2377.699951171875,2375.10009765625,2385.0,2335.60009765625,,,,,
2024-05-12,Sunday,20:35:00,Above High,2392.800048828125,2391.300048828125,2388.89990234375,2392.89990234375,2383.800048828125,21:13:00,Crossed Below Low,2388.0,,
2024-05-13,Monday,20:38:00,Below Low,2365.5,2368.0,2366.300048828125,2385.10009765625,2361.39990234375,21:11:00,,,Crossed Above High,2368.0
2024-05-14,Tuesday,21:12:00,Above High,2384.699951171875,2384.5,2383.300048828125,2389.10009765625,2364.300048828125,,,,,
2024-05-15,Wednesday,20:54:00,Above High,2421.800048828125,2421.699951171875,2417.89990234375,2424.5,2379.60009765625,09:52:00,Crossed Below Low,2383.10009765625,,
2024-05-15,Wednesday,20:54:00,Above High,2421.800048828125,2421.699951171875,2417.89990234375,2424.5,2379.60009765625,21:56:00,Crossed Below Low,2417.0,,
2024-05-16,Thursday,21:04:00,Below Low,2404.699951171875,2406.699951171875,2404.800048828125,2421.0,2398.0,22:26:00,,,Crossed Above High,2407.0
2024-05-19,Sunday,20:31:00,Above High,2450.5,2449.300048828125,2444.300048828125,2467.5,2449.300048828125,,,,,
2024-05-20,Monday,20:35:00,Below Low,2452.10009765625,2454.60009765625,2452.300048828125,2477.0,2432.800048828125,08:21:00,Crossed Below Low,2443.5,,
2024-05-20,Monday,20:35:00,Below Low,2452.10009765625,2454.60009765625,2452.300048828125,2477.0,2432.800048828125,20:48:00,,,Crossed Above High,2454.60009765625
