Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-04-01,Monday,Loss,18481.0,18458.0,18607.0,18414.5,23.0,2300.0,0.23,23:45:00,18110.75,Above Opening High,22:00:00,17732.0,Above Opening High,2.4625700129254633,4.5725,0.07135932787591555,0.1325,2024-04-16,07:45:00,,,Crossed Above Opening Range High,17908.25
2024-04-02,Tuesday,Win,18333.25,18300.5,18511.0,18201.5,32.75,3275.0,0.3275,21:30:00,18332.0,Above Opening High,21:45:00,17772.25,Above Opening High,0.00818174380232907,0.015,0.25090680993809145,0.46,2024-04-18,09:15:00,Crossed Below Opening Range Low,17673.0,,
2024-04-03,Wednesday,Win,18485.0,18416.5,18454.0,18232.5,68.5,6850.0,0.685,21:45:00,18287.5,Below Opening Low,22:00:00,17901.0,Above Opening High,0.2741603838245374,0.5,0.06394209838920331,0.1175,2024-04-19,08:15:00,,,Crossed Above Opening Range High,17529.25
2024-04-04,Thursday,Loss,18110.0,18053.5,18568.0,18053.5,56.5,5650.0,0.565,21:45:00,18178.25,Above Opening High,23:30:00,17522.5,Above Opening High,1.6022301311284626,2.96,2.1056335169222025,3.89,2024-04-23,00:00:00,,,Crossed Above Opening Range High,17341.0
2024-04-07,Sunday,Loss,18325.5,18283.75,18333.5,18270.25,41.75,4175.0,0.4175,22:15:00,17821.75,Below Opening Low,22:15:00,17545.75,Above Opening High,0.14610229970639058,0.26,1.3487187172186423,2.475,2024-04-24,11:00:00,Crossed Below Opening Range Low,17657.75,,
2024-04-08,Monday,Win,18313.75,18291.75,18376.0,18237.5,22.0,2200.0,0.22,21:45:00,17704.5,Above Opening High,21:30:00,17773.5,Above Opening High,1.4692378328741964,2.64,0.07513148009015778,0.135,2024-04-25,01:00:00,Crossed Below Opening Range Low,17434.75,,
2024-04-09,Tuesday,Loss,18382.5,18366.75,18407.25,18160.75,15.75,1575.0,0.1575,20:45:00,17437.5,Below Opening Low,22:00:00,18218.25,Below Opening Low,1.4884979702300407,2.5575,0.6324656493820341,1.145,2024-04-26,04:45:00,Crossed Below Opening Range Low,17734.75,,
2024-04-10,Wednesday,Loss,18176.75,18147.75,18474.25,18053.5,29.0,2900.0,0.29,21:30:00,17315.75,Below Opening Low,21:00:00,18259.25,Above Opening High,0.975303962445695,1.6725,0.11462631820265932,0.2,2024-04-29,09:30:00,Crossed Below Opening Range Low,17845.75,,
2024-04-11,Thursday,Win,18497.25,18473.0,18518.75,18088.0,24.25,2425.0,0.2425,21:15:00,17720.0,Above Opening High,21:15:00,18273.5,Below Opening Low,0.14229159916033868,0.2525,0.21113243761996162,0.385,2024-04-30,01:15:00,Crossed Below Opening Range Low,17891.75,,
2024-04-14,Sunday,Win,18255.0,18192.5,18243.0,18194.5,62.5,6250.0,0.625,20:45:00,17488.5,Above Opening High,23:15:00,18427.25,Above Opening High,1.725155235874238,3.07,0.06181337978702481,0.11,2024-05-01,02:30:00,Crossed Below Opening Range Low,17476.0,,
2024-04-15,Monday,Win,17893.75,17863.25,18350.75,17795.75,30.5,3050.0,0.305,21:30:00,17775.25,Above Opening High,21:30:00,18664.0,Above Opening High,0.24132560717242155,0.43,0.5429826161379485,0.9675,2024-05-02,10:00:00,Crossed Below Opening Range Low,17445.25,,
2024-04-16,Tuesday,Win,17940.0,17890.25,17988.0,17792.0,49.75,4975.0,0.4975,21:30:00,17896.0,Above Opening High,23:15:00,18675.25,Above Opening High,0.09350881355459101,0.1675,0.02233046293840979,0.04,2024-05-03,02:15:00,Crossed Below Opening Range Low,17736.75,,
2024-04-17,Wednesday,Loss,17700.5,17678.5,17968.5,17620.25,22.0,2200.0,0.22,21:15:00,17914.25,Above Opening High,21:30:00,18893.25,Above Opening High,0.19360410050699203,0.3475,0.40392222407933587,0.725,2024-05-08,10:30:00,,,Crossed Above Opening Range High,18218.75
2024-04-18,Thursday,Win,17517.25,17437.75,17770.75,17181.75,79.5,7950.0,0.795,22:30:00,17517.5,Above Opening High,21:45:00,18726.0,Above Opening High,2.1997041007174163,3.94,1.6595483348686597,2.9725,2024-05-09,00:45:00,Crossed Below Opening Range Low,18149.5,,
2024-04-21,Sunday,Loss,17273.0,17200.75,17259.5,17200.75,72.25,7225.0,0.7225,21:00:00,17540.5,Above Opening High,23:00:00,18852.0,Above Opening High,1.4204824863361105,2.5275,0.026695516558245404,0.0475,2024-05-10,02:45:00,,,Crossed Above Opening Range High,18254.0
2024-04-22,Monday,Loss,17338.5,17316.0,17448.0,17148.5,22.5,2250.0,0.225,21:15:00,17775.25,Above Opening High,23:15:00,18922.25,Above Opening High,0.06605948164389723,0.1175,0.1897453196154495,0.3375,2024-05-14,02:30:00,,,Crossed Above Opening Range High,18290.0
2024-04-23,Tuesday,Loss,17718.75,17681.25,17745.25,17317.5,37.5,3750.0,0.375,23:15:00,18196.0,Below Opening Low,23:00:00,18889.25,Below Opening Low,0.24792022478100378,0.45,0.3706262121735434,0.6975,2024-05-15,03:30:00,Crossed Below Opening Range Low,18394.25,,
2024-04-24,Wednesday,Win,17484.5,17447.25,17795.5,17456.25,37.25,3725.0,0.3725,21:45:00,18174.25,Above Opening High,22:45:00,18692.25,Below Opening Low,0.37276103550822953,0.68,0.08299088438834379,0.155,2024-05-17,04:00:00,Crossed Below Opening Range Low,18627.0,,
2024-04-25,Thursday,Loss,17767.5,17742.25,17818.25,17308.25,25.25,2525.0,0.2525,21:45:00,18218.25,Below Opening Low,22:15:00,18758.5,Above Opening High,0.6324656493820341,1.145,0.041117857485505956,0.075,2024-05-20,04:30:00,Crossed Below Opening Range Low,18656.0,,
2024-04-28,Sunday,Loss,17895.0,17862.5,17912.75,17877.5,32.5,3250.0,0.325,20:45:00,18258.25,Above Opening High,23:15:00,19108.25,Above Opening High,0.11488436341753627,0.21,0.015044380923724988,0.0275,2024-05-21,12:00:00,,,Crossed Above Opening Range High,18763.25
2024-04-29,Monday,Loss,17913.75,17897.25,17949.0,17791.25,16.5,1650.0,0.165,20:45:00,18277.75,Below Opening Low,21:45:00,19082.0,Above Opening High,0.23443926514943791,0.4275,0.23178130751925827,0.425,2024-05-22,02:00:00,Crossed Below Opening Range Low,18803.5,,
2024-04-30,Tuesday,Win,17517.0,17481.25,17911.5,17499.0,35.75,3575.0,0.3575,22:30:00,18431.5,Above Opening High,23:15:00,19049.0,Above Opening High,0.03660868032486814,0.0675,0.010847016392553524,0.02,2024-05-23,09:45:00,Crossed Below Opening Range Low,18851.75,,
2024-05-01,Wednesday,Win,17540.0,17498.5,17793.25,17399.25,41.5,4150.0,0.415,21:00:00,18657.5,Above Opening High,21:45:00,19095.75,Above Opening High,0.5503511320176432,1.0325,0.1812294284610157,0.34,2024-05-24,02:45:00,Crossed Below Opening Range Low,18693.0,,
2024-05-02,Thursday,Win,17763.5,17737.5,17787.0,17386.5,26.0,2600.0,0.26,22:30:00,18673.5,Above Opening High,23:15:00,19631.0,Above Opening High,0.030782820509388763,0.0575,0.037474738011429795,0.07,2024-05-28,09:30:00,Crossed Below Opening Range Low,18872.5,,
2024-05-05,Sunday,Win,18025.25,17995.0,18014.5,17995.0,30.25,3025.0,0.3025,21:45:00,18743.5,Below Opening Low,22:15:00,19630.75,Above Opening High,0.5808883701587046,1.0825,0.3205725079145495,0.6025,2024-05-30,04:45:00,,,Crossed Above Opening Range High,18735.0
