Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of High Range,Break of High Range Cross Price,Break of Low Range,Break of Low Range Cross Price
2024-04-09,Tuesday,20:50:00,Above High,18381.0,18380.75,18366.75,18407.25,18160.75,00:45:00,Crossed Above High,18315.5,,
2024-04-10,Wednesday,21:50:00,Above High,18180.75,18176.75,18147.75,18474.25,18053.5,05:50:00,,,Crossed Below Low,18366.5
2024-04-11,Thursday,20:40:00,Above High,18497.0,18495.75,18473.0,18518.75,18088.0,06:05:00,,,Crossed Below Low,18147.5
2024-04-14,Sunday,,,,,,,,,,,,
2024-04-15,Monday,22:00:00,Below Low,17861.5,17893.75,17863.25,18350.75,17795.75,,,,,
2024-04-16,Tuesday,,,,,,,,07:35:00,Crossed Above High,17900.25,,
2024-04-17,Wednesday,21:15:00,Above High,17702.5,17700.5,17678.5,17968.5,17620.25,,,,,
2024-04-18,Thursday,20:55:00,Below Low,17437.5,17517.25,17437.75,17770.75,17181.75,05:30:00,,,Crossed Below Low,17677.75
2024-04-21,Sunday,20:35:00,Below Low,17229.75,17273.0,17249.25,17259.5,17200.75,,,,,
2024-04-22,Monday,21:40:00,Below Low,17315.75,17338.5,17316.0,17448.0,17148.5,01:50:00,Crossed Above High,17276.75,,
2024-04-23,Tuesday,21:15:00,Above High,17722.0,17717.25,17681.25,17745.25,17317.5,00:10:00,Crossed Above High,17341.0,,
2024-04-24,Wednesday,20:45:00,Above High,17488.0,17484.25,17447.25,17795.5,17456.25,05:45:00,,,Crossed Below Low,17679.25
2024-04-25,Thursday,21:30:00,Above High,17771.0,17767.5,17742.25,17788.0,17308.25,01:00:00,,,Crossed Below Low,17443.25
2024-04-28,Sunday,21:40:00,Above High,17896.0,17895.0,17862.5,17912.75,17877.5,,,,,
2024-04-29,Monday,21:25:00,Above High,17914.25,17913.25,17897.25,17949.0,17791.25,09:40:00,,,Crossed Below Low,17845.75
2024-04-30,Tuesday,22:35:00,Above High,17519.5,17517.0,17481.25,17911.5,17499.0,01:15:00,,,Crossed Below Low,17896.25
2024-05-01,Wednesday,20:50:00,Above High,17541.25,17540.0,17498.5,17793.25,17399.25,02:35:00,,,Crossed Below Low,17474.0
2024-05-02,Thursday,20:35:00,Above High,17760.75,17757.5,17737.5,17787.0,17386.5,09:45:00,,,Crossed Below Low,17492.0
2024-05-05,Sunday,,,,,,,,,,,,
2024-05-06,Monday,,,,,,,,,,,,
2024-05-07,Tuesday,23:20:00,Below Low,18195.0,18212.25,18196.5,18266.25,18151.0,,,,,
2024-05-08,Wednesday,21:50:00,Above High,18173.0,18169.75,18153.25,18242.25,18072.5,04:20:00,Crossed Above High,18213.25,,
2024-05-09,Thursday,21:35:00,Below Low,18222.5,18244.75,18223.25,18239.25,18103.75,00:55:00,,,Crossed Below Low,18149.5
2024-05-12,Sunday,20:55:00,Above High,18258.25,18254.5,18238.0,18279.25,18242.0,,,,,
2024-05-13,Monday,20:40:00,Below Low,18279.25,18289.75,18282.25,18336.25,18235.0,,,,,
2024-05-14,Tuesday,20:35:00,Below Low,18401.5,18426.25,18414.25,18438.25,18165.5,02:40:00,Crossed Above High,18290.0,,
2024-05-14,Tuesday,20:35:00,Below Low,18401.5,18426.25,18414.25,18438.25,18165.5,22:35:00,Crossed Above High,18429.0,,
2024-05-15,Wednesday,23:35:00,Above High,18735.5,18735.25,18717.0,18738.75,18393.0,,,,,
