Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of High Range,Break of High Range Cross Price,Break of Low Range,Break of Low Range Cross Price
2024-06-23,Sunday,20:50:00,Above High,29.48500061035156,29.469999313354492,29.375,29.665000915527344,29.375,,,,,
2024-06-24,Monday,20:35:00,Below Low,29.4950008392334,29.575000762939453,29.524999618530273,29.7549991607666,29.270000457763672,21:00:00,Crossed Above High,29.579999923706055,,
2024-06-25,Tuesday,21:10:00,Above High,28.954999923706055,28.924999237060547,28.81999969482422,29.684999465942383,28.690000534057617,21:35:00,,,Crossed Below Low,28.81999969482422
2024-06-26,Wednesday,21:10:00,Above High,28.7450008392334,28.725000381469727,28.674999237060547,29.09000015258789,28.575000762939453,,,,,
2024-06-27,Thursday,22:30:00,Above High,29.325000762939453,29.315000534057617,28.934999465942383,29.575000762939453,28.690000534057617,,,,,
2024-06-30,Sunday,21:30:00,Above High,29.46500015258789,29.424999237060547,29.03499984741211,29.469999313354492,29.270000457763672,,,,,
2024-07-01,Monday,20:35:00,Below Low,29.719999313354492,29.780000686645508,29.729999542236328,29.78499984741211,28.959999084472656,,,,,
2024-07-02,Tuesday,20:55:00,Below Low,29.834999084472656,29.895000457763672,29.854999542236328,30.125,29.325000762939453,08:40:00,Crossed Above High,29.809999465942383,,
2024-07-02,Tuesday,20:55:00,Below Low,29.834999084472656,29.895000457763672,29.854999542236328,30.125,29.325000762939453,22:00:00,Crossed Above High,29.899999618530273,,
2024-07-03,Wednesday,,,,,,,,,,,,
2024-07-04,Thursday,,,,,,,,,,,,
2024-07-07,Sunday,20:40:00,Above High,31.489999771118164,31.475000381469727,31.3799991607666,31.665000915527344,31.290000915527344,22:40:00,,,Crossed Below Low,31.3700008392334
2024-07-08,Monday,20:50:00,Below Low,31.100000381469727,31.165000915527344,31.104999542236328,31.524999618530273,30.704999923706055,21:10:00,Crossed Above High,31.174999237060547,,
2024-07-09,Tuesday,21:15:00,Above High,31.145000457763672,31.114999771118164,31.030000686645508,31.43000030517578,30.790000915527344,,,,,
2024-07-10,Wednesday,20:40:00,Above High,31.1299991607666,31.125,31.075000762939453,31.454999923706055,30.915000915527344,00:15:00,,,Crossed Below Low,31.030000686645508
2024-07-11,Thursday,21:15:00,Below Low,31.5,31.665000915527344,31.559999465942383,32.01499938964844,31.135000228881836,,,,,
2024-07-14,Sunday,20:50:00,Above High,30.88999938964844,30.875,30.799999237060547,31.18000030517578,30.815000534057617,,,,,
2024-07-15,Monday,20:40:00,Below Low,30.78499984741211,30.8700008392334,30.80500030517578,31.325000762939453,30.75,21:00:00,Crossed Above High,30.8799991607666,,
2024-07-16,Tuesday,20:40:00,Above High,31.51499938964844,31.510000228881836,31.440000534057617,31.655000686645508,30.719999313354492,22:35:00,,,Crossed Below Low,31.399999618530273
2024-07-17,Wednesday,20:55:00,Below Low,30.510000228881836,30.604999542236328,30.51499938964844,31.3799991607666,30.260000228881836,23:00:00,Crossed Above High,30.625,,
2024-07-18,Thursday,21:10:00,Below Low,29.645000457763672,30.010000228881836,29.690000534057617,30.799999237060547,29.575000762939453,,,,,
2024-07-21,Sunday,20:50:00,Below Low,29.4950008392334,29.614999771118164,29.5049991607666,29.579999923706055,29.25,,,,,
2024-07-22,Monday,20:55:00,Above High,29.315000534057617,29.270000457763672,29.21500015258789,29.479999542236328,28.93000030517578,22:45:00,,,Crossed Below Low,29.209999084472656
2024-07-23,Tuesday,21:05:00,Below Low,29.36000061035156,29.415000915527344,29.3700008392334,29.545000076293945,28.829999923706055,21:10:00,Crossed Above High,29.420000076293945,,
2024-07-24,Wednesday,21:15:00,Below Low,28.78499984741211,29.31599998474121,28.96500015258789,29.6299991607666,27.969999313354492,,,,,
2024-07-25,Thursday,21:00:00,Below Low,27.88999938964844,28.030000686645508,27.954999923706055,28.274999618530273,27.51499938964844,21:30:00,Crossed Above High,28.094999313354492,,
2024-07-28,Sunday,21:00:00,Below Low,28.18000030517578,28.31999969482422,28.225000381469727,28.334999084472656,28.045000076293945,,,,,
2024-07-29,Monday,21:00:00,Below Low,27.88999938964844,28.0049991607666,27.920000076293945,28.31999969482422,27.454999923706055,23:00:00,Crossed Above High,28.010000228881836,,
2024-07-30,Tuesday,20:45:00,Above High,28.530000686645508,28.524999618530273,28.450000762939453,28.790000915527344,27.80500030517578,21:00:00,,,Crossed Below Low,28.440000534057617
2024-07-31,Wednesday,21:20:00,Above High,29.270000457763672,29.23500061035156,29.15999984741211,29.28499984741211,28.61000061035156,21:55:00,,,Crossed Below Low,29.155000686645508
