Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-04-09,Tuesday,Win,18380.75,18366.75,18474.25,18053.5,14.0,56.0,3.5,20:54:00,18381.0,Above Opening High,21:05:00,18381.5,Above Opening High,0.5047566207017876,23.3125,0.5020501508856923,23.1875,Crossed Below Opening Low,05:51:00,18364.5
2024-04-10,Wednesday,Win,18176.75,18147.75,18518.75,18088.0,29.0,116.0,7.25,21:46:00,18177.0,Above Opening High,21:51:00,18184.0,Above Opening High,1.8454269321633479,85.4375,1.8076274046574419,83.6875,Crossed Below Opening Low,05:20:00,18151.75
2024-04-11,Thursday,Win,18495.75,18473.0,18507.75,18120.25,22.75,91.0,5.6875,20:36:00,18496.25,Above Opening High,21:50:00,18499.0,Above Opening High,0.06213613216085154,2.875,0.04727749186151747,2.1875,Crossed Below Opening Low,03:25:00,18477.0
2024-04-14,Sunday,Win,18255.0,18192.5,18350.75,17841.5,62.5,250.0,15.625,01:02:00,18261.0,Above Opening High,01:03:00,18257.75,Above Opening High,0.4890808277590834,22.4375,0.5067912755609444,23.25,Crossed Below Opening Low,10:11:00,18192.5
2024-04-15,Monday,Win,17893.75,17863.25,17988.0,17792.0,30.5,122.0,7.625,21:11:00,17862.25,Below Opening Low,21:16:00,17863.0,Below Opening Low,0.3948403776978417,17.5625,0.3990557553956835,17.75,Crossed Above Opening High,07:33:00,17895.75
2024-04-16,Tuesday,Win,17940.0,17903.5,17968.5,17620.25,36.5,146.0,9.125,20:32:00,17899.0,Below Opening Low,20:33:00,17894.5,Below Opening Low,1.5819866346958755,69.6875,1.556447837005718,68.5625,Crossed Above Opening High,06:30:00,17937.0
2024-04-17,Wednesday,Win,17698.0,17678.5,17770.75,17506.25,19.5,78.0,4.875,20:33:00,17698.75,Above Opening High,21:16:00,17698.5,Above Opening High,0.40516016487767825,18.0,0.4065669710057257,18.0625,Crossed Below Opening Low,05:30:00,17677.75
2024-04-18,Thursday,Win,17517.25,17437.75,17553.25,17113.25,79.5,318.0,19.875,20:57:00,17435.75,Below Opening Low,20:58:00,17427.0,Below Opening Low,1.8845046966531782,80.625,1.8333747242633633,78.4375,Crossed Above Opening High,08:14:00,17516.5
2024-04-21,Sunday,Win,17273.0,17249.25,17448.0,17148.5,23.75,95.0,5.9375,20:37:00,17245.0,Below Opening Low,20:38:00,17244.0,Below Opening Low,0.5627314342362305,24.125,0.5569000204099483,23.875,Crossed Above Opening High,01:40:00,17266.5
2024-04-22,Monday,Win,17338.5,17316.0,17657.25,17291.5,22.5,90.0,5.625,21:27:00,17315.25,Below Opening Low,21:46:00,17310.25,Below Opening Low,0.13735072145273688,5.9375,0.10843478009426596,4.6875,Crossed Above Opening High,00:13:00,17338.5
2024-04-23,Tuesday,Win,17717.25,17681.25,17795.5,17567.25,36.0,144.0,9.0,20:53:00,17717.75,Above Opening High,21:19:00,17722.0,Above Opening High,0.43690820713101625,19.4375,0.41302576494057486,18.375,Crossed Below Opening Low,05:45:00,17682.25
2024-04-24,Wednesday,Win,17484.25,17447.25,17624.0,17308.25,37.0,148.0,9.25,20:48:00,17488.0,Above Opening High,20:49:00,17488.0,Above Opening High,0.7716749886518384,34.0,0.7716749886518384,34.0,Crossed Below Opening Low,01:04:00,17443.25
2024-04-25,Thursday,Win,17767.5,17742.25,17901.5,17668.25,25.25,101.0,6.3125,21:21:00,17767.75,Above Opening High,21:32:00,17774.0,Above Opening High,0.7471440940703293,33.4375,0.7122308186464821,31.875,Crossed Below Opening Low,03:07:00,17747.5
2024-04-28,Sunday,Win,17895.0,17862.5,17949.0,17791.25,32.5,130.0,8.125,21:44:00,17896.0,Above Opening High,21:52:00,17897.0,Above Opening High,0.295281074154549,13.25,0.28970973313276505,13.0,Crossed Below Opening Low,09:41:00,17862.25
2024-04-29,Monday,Win,17913.25,17897.25,17920.25,17550.75,16.0,64.0,4.0,21:26:00,17913.5,Above Opening High,21:36:00,17913.75,Above Opening High,0.03766688522760564,1.6875,0.03627181540436099,1.625,Crossed Below Opening Low,01:13:00,17897.75
2024-04-30,Tuesday,Win,17517.0,17481.25,17793.25,17399.25,35.75,143.0,8.9375,21:10:00,17517.75,Above Opening High,22:40:00,17520.0,Above Opening High,1.5483399603782333,68.875,1.5356947156927485,68.3125,Crossed Below Opening Low,02:31:00,17476.0
2024-05-01,Wednesday,Win,17540.0,17498.5,17685.5,17386.5,41.5,166.0,10.375,20:54:00,17541.25,Above Opening High,20:54:00,17541.25,Above Opening High,0.8156399310169349,36.0625,0.8156399310169349,36.0625,Crossed Below Opening Low,09:49:00,17492.0
2024-05-02,Thursday,Win,17757.5,17737.5,18050.25,17719.5,20.0,80.0,5.0,20:36:00,17758.5,Above Opening High,20:38:00,17761.0,Above Opening High,1.616321103585823,72.9375,1.6024708799047105,72.3125,Crossed Below Opening Low,02:21:00,17739.75
2024-05-05,Sunday,Win,18025.25,17995.5,18198.25,17983.75,29.75,119.0,7.4375,20:36:00,17995.0,Below Opening Low,00:52:00,17995.0,Below Opening Low,0.06255647459512059,2.8125,0.06255647459512059,2.8125,Crossed Above Opening High,03:14:00,18025.25
2024-05-06,Monday,Win,18188.25,18176.75,18266.25,18151.0,11.5,46.0,2.875,20:32:00,18173.0,Below Opening Low,20:33:00,18175.25,Below Opening Low,0.12120544322626853,5.5,0.1336014544653187,6.0625,Crossed Above Opening High,23:57:00,18187.25
2024-05-07,Tuesday,Win,18212.25,18196.5,18242.25,18072.5,15.75,63.0,3.9375,21:15:00,18213.25,Above Opening High,21:16:00,18213.5,Above Opening High,0.158971618084392,7.25,0.15760117310090585,7.1875,Crossed Below Opening Low,22:42:00,18196.0
2024-05-08,Wednesday,Win,18169.75,18153.25,18239.25,18103.75,16.5,66.0,4.125,20:51:00,18170.25,Above Opening High,21:55:00,18174.0,Above Opening High,0.3783050289896788,17.25,0.35774497306632674,16.3125,Crossed Below Opening Low,00:56:00,18151.75
